Date,2016/09/28,
Time,16:00:00,
Memo,EKO WISER,
Sensor,MS-711,
Exposure Time(msec),200,
Sensor Temp.(deg),25.3,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
568.19,907.93,
568.60,906.55,
569.02,907.31,
569.44,905.80,
569.85,904.50,
570.27,904.83,
570.69,904.26,
571.10,903.97,
571.52,902.61,
571.93,904.85,
572.35,904.66,
572.77,904.06,
573.18,903.83,
573.60,902.23,
574.02,901.92,
574.43,904.08,
574.85,904.96,
575.27,904.78,
575.68,904.98,
576.10,905.61,
576.52,905.21,
576.93,903.20,
577.35,904.50,
577.76,906.65,
578.18,908.84,
578.60,910.10,
579.01,912.32,
579.43,915.13,
579.85,919.19,
580.26,921.19,
580.68,924.34,
581.09,925.20,
581.51,926.19,
581.93,926.56,
582.34,925.48,
582.76,925.29,
583.17,926.30,
583.59,924.90,
584.01,921.26,
584.42,917.26,
584.84,912.83,
585.25,907.73,
585.67,899.20,
586.09,891.67,
586.50,883.27,
586.92,875.52,
587.33,868.94,
587.75,863.77,
588.17,858.70,
588.58,857.17,
589.00,853.71,
589.41,850.70,
589.83,847.44,
590.25,846.62,
590.66,844.61,
591.08,843.18,
591.49,843.42,
591.91,844.87,
592.32,846.84,
592.74,850.30,
593.16,852.62,
593.57,855.92,
593.99,860.22,
594.40,861.95,
594.82,863.94,
595.23,865.51,
595.65,867.48,
596.07,869.71,
596.48,870.97,
596.90,873.72,
597.31,878.40,
597.73,880.71,
598.14,884.09,
598.56,887.39,
598.97,889.25,
599.39,891.30,
599.81,891.82,
600.22,892.63,
600.64,894.34,
601.05,895.95,
601.47,897.30,
601.88,898.89,
602.30,900.82,
602.71,904.18,
603.13,904.22,
603.54,904.26,
603.96,904.94,
604.37,905.26,
604.79,904.60,
605.21,905.31,
605.62,906.33,
606.04,907.44,
606.45,906.45,
606.87,906.06,
607.28,903.87,
607.70,902.45,
608.11,900.85,
608.53,898.38,
608.94,896.12,
609.36,895.34,
609.77,894.08,
610.19,892.08,
610.60,890.73,
611.02,889.46,
611.43,889.05,
611.85,886.45,
612.26,884.46,
612.68,883.16,
613.09,882.27,
613.51,881.29,
613.92,880.97,
614.34,880.55,
614.75,881.89,
615.17,880.94,
615.58,882.13,
616.00,881.54,
616.41,882.32,
616.83,883.35,
617.24,883.11,
617.66,882.65,
618.07,883.60,
618.49,884.29,
618.90,884.29,
619.32,884.45,
619.73,885.03,
620.15,884.92,
620.56,882.69,
620.98,881.24,
621.39,879.11,
621.80,876.95,
622.22,875.61,
622.63,873.46,
623.05,870.84,
623.46,869.73,
623.88,867.07,
624.29,863.93,
624.71,860.01,
625.12,857.11,
625.54,853.76,
625.95,849.65,
626.37,846.83,
626.78,847.04,
627.19,845.09,
627.61,843.05,
628.02,842.79,
628.44,841.73,
628.85,841.47,
629.27,840.01,
629.68,839.46,
630.10,839.69,
630.51,841.97,
630.92,843.12,
631.34,845.46,
631.75,848.11,
632.17,852.73,
632.58,854.75,
633.00,855.75,
633.41,857.74,
633.82,860.57,
634.24,862.90,
634.65,863.56,
635.07,865.04,
635.48,867.81,
635.90,868.86,
636.31,870.24,
636.72,870.49,
637.14,871.72,
637.55,873.56,
637.97,873.03,
638.38,871.62,
638.80,872.04,
639.21,871.65,
639.62,870.84,
640.04,869.25,
640.45,867.28,
640.87,867.72,
641.28,866.51,
641.69,864.12,
642.11,863.35,
642.52,861.34,
642.94,858.58,
643.35,853.32,
643.76,848.72,
644.18,843.97,
644.59,840.61,
645.01,836.15,
645.42,832.62,
645.83,829.33,
646.25,827.68,
646.66,825.66,
647.07,823.67,
647.49,821.62,
647.90,820.55,
648.32,818.47,
648.73,817.93,
649.14,818.18,
649.56,820.13,
649.97,820.66,
650.38,821.90,
650.80,822.20,
651.21,822.27,
651.63,821.93,
652.04,819.36,
652.45,816.82,
652.87,813.96,
653.28,810.02,
653.69,806.72,
654.11,804.86,
654.52,803.37,
654.93,803.91,
655.35,804.48,
655.76,805.35,
656.17,807.10,
656.59,809.28,
