Date,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,2016/03/31,
343.57,63.50,65.93,58.30,61.38,57.51,66.23,80.14,92.95,95.38,100.29,109.38,
344.00,63.53,66.00,58.24,61.29,57.45,66.25,80.04,92.73,95.30,100.24,109.37,
344.43,63.59,66.17,58.28,61.24,57.43,66.28,79.96,92.75,95.37,100.29,109.45,
344.86,63.54,66.33,58.26,61.17,57.48,66.30,79.91,92.78,95.43,100.34,109.43,
345.29,63.81,66.65,58.50,61.33,57.68,66.45,80.13,93.07,95.80,100.73,109.81,
345.72,64.06,66.83,58.71,61.49,57.75,66.60,80.38,93.43,96.03,101.03,110.20,
346.15,64.31,67.09,58.85,61.78,58.00,66.79,80.75,93.78,96.38,101.45,110.63,
346.58,64.50,67.43,59.01,62.05,58.15,66.99,81.08,94.30,96.85,101.85,111.09,
347.01,64.92,67.94,59.26,62.38,58.35,67.41,81.58,94.78,97.40,102.42,111.80,
347.44,65.51,68.64,59.81,62.85,58.74,67.91,82.17,95.56,98.28,103.25,112.76,
347.87,66.09,69.18,60.30,63.35,59.14,68.35,82.74,96.38,99.11,103.96,113.63,
348.30,66.74,69.75,60.76,63.80,59.53,68.94,83.46,97.24,99.97,104.78,114.45,
348.73,67.42,70.44,61.39,64.33,60.10,69.60,84.22,98.37,101.06,105.98,115.68,
349.16,67.98,71.04,61.99,64.90,60.61,70.19,84.94,99.26,101.96,106.95,116.76,
349.59,68.50,71.67,62.39,65.39,61.16,70.73,85.60,99.84,102.67,107.77,117.70,
350.02,68.54,71.79,62.31,65.44,61.14,70.82,85.52,99.84,102.59,107.79,117.76,
350.44,69.13,72.53,62.72,65.99,61.67,71.46,86.21,100.71,103.47,108.74,118.73,
350.87,69.78,73.24,63.28,66.54,62.23,72.11,87.03,101.69,104.47,109.75,119.82,
351.30,70.46,73.80,63.85,67.07,62.70,72.64,87.76,102.64,105.38,110.68,120.96,
351.73,70.96,74.32,64.29,67.58,63.15,73.13,88.48,103.50,106.20,111.48,121.90,
352.16,71.57,74.96,64.70,68.12,63.59,73.60,89.27,104.42,107.16,112.35,122.96,
352.59,71.94,75.51,65.01,68.58,63.92,74.04,89.82,105.09,107.83,113.07,123.79,
353.02,72.12,75.70,65.08,68.69,63.98,74.19,89.93,105.18,107.98,113.32,123.98,
353.45,72.13,75.68,65.01,68.68,63.95,74.12,89.81,105.20,107.94,113.18,123.87,
353.88,72.08,75.57,64.84,68.43,63.77,74.06,89.60,105.04,107.77,112.92,123.62,
354.31,71.64,75.10,64.47,67.93,63.32,73.53,89.04,104.52,107.16,112.34,122.91,
354.73,71.03,74.56,64.02,67.40,62.87,72.92,88.37,103.71,106.31,111.47,122.10,
355.16,70.40,74.04,63.39,66.85,62.37,72.33,87.67,102.84,105.43,110.45,121.07,
355.59,69.85,73.57,62.80,66.28,61.74,71.74,86.92,101.98,104.49,109.62,120.23,
356.02,69.48,73.30,62.41,65.88,61.38,71.40,86.59,101.52,104.09,109.17,119.68,
356.45,69.29,73.13,62.25,65.62,61.14,71.11,86.34,101.23,103.94,108.84,119.46,
356.88,69.07,72.86,62.13,65.44,60.87,70.76,86.17,101.01,103.67,108.49,119.30,
357.31,68.83,72.57,61.89,65.16,60.60,70.36,85.86,100.74,103.34,108.11,118.78,
357.74,68.57,72.43,61.66,64.92,60.25,70.09,85.70,100.60,103.07,107.85,118.51,
358.16,68.41,72.41,61.48,64.82,60.06,69.94,85.59,100.52,102.99,107.77,118.33,
358.59,68.26,72.33,61.33,64.59,59.87,69.81,85.33,100.20,102.70,107.55,118.04,
359.02,68.47,72.52,61.45,64.66,59.96,70.02,85.41,100.40,102.98,107.85,118.27,
359.45,68.80,72.90,61.68,64.89,60.20,70.33,85.71,100.89,103.53,108.29,118.80,
359.88,69.34,73.46,62.16,65.27,60.59,70.74,86.32,101.65,104.35,109.23,119.69,
360.31,69.95,74.17,62.74,65.88,61.27,71.41,87.23,102.69,105.39,110.39,120.90,
360.73,70.82,75.23,63.50,66.78,62.16,72.38,88.43,104.06,106.79,111.83,122.60,
361.16,71.96,76.54,64.35,67.87,63.05,73.48,89.88,105.81,108.50,113.71,124.58,
361.59,73.27,78.04,65.38,69.02,64.11,74.89,91.57,107.67,110.49,115.84,126.88,
362.02,74.55,79.52,66.52,70.24,65.27,76.20,93.13,109.60,112.57,117.85,129.13,
362.45,75.87,80.78,67.68,71.48,66.24,77.38,94.60,111.46,114.45,119.74,131.26,
362.88,77.15,82.11,68.68,72.53,67.26,78.51,96.07,113.33,116.25,121.66,133.21,
363.30,78.26,83.38,69.65,73.46,68.24,79.62,97.43,115.13,118.05,123.50,135.18,
363.73,79.47,84.71,70.68,74.66,69.33,80.89,99.00,116.97,119.91,125.48,137.43,
364.16,80.58,85.95,71.56,75.63,70.33,82.04,100.25,118.38,121.57,127.18,139.22,
364.59,81.72,87.11,72.47,76.55,71.20,83.09,101.46,119.88,123.08,128.80,141.07,
365.02,82.81,88.33,73.32,77.55,72.14,84.18,102.69,121.53,124.74,130.51,142.95,
365.44,83.81,89.33,74.21,78.36,72.96,85.02,103.86,122.88,126.22,132.00,144.63,
365.87,84.71,90.28,75.01,79.10,73.67,85.88,104.99,124.22,127.52,133.47,146.31,
366.30,85.36,91.11,75.59,79.77,74.34,86.58,105.93,125.37,128.71,134.67,147.67,
366.73,86.19,92.05,76.25,80.51,74.85,87.25,106.92,126.64,129.92,135.94,149.13,
367.16,86.89,92.92,76.75,81.11,75.36,87.96,107.72,127.61,130.95,137.07,150.22,
367.58,87.33,93.47,77.20,81.50,75.76,88.38,108.16,128.22,131.70,137.77,151.07,
368.01,87.65,93.75,77.51,81.87,75.97,88.57,108.46,128.74,132.14,138.17,151.55,
368.44,87.94,93.90,77.53,81.92,76.02,88.55,108.50,128.89,132.31,138.29,151.68,
368.87,87.82,93.85,77.41,81.60,75.94,88.34,108.28,128.76,132.15,138.15,151.50,
369.29,87.30,93.43,77.04,81.21,75.58,87.95,107.73,128.21,131.61,137.52,150.87,
369.72,86.83,92.97,76.53,80.73,75.03,87.43,106.96,127.29,130.74,136.74,149.87,
370.15,86.03,92.25,75.71,79.90,74.20,86.63,105.81,126.04,129.46,135.44,148.54,
370.58,85.24,91.52,74.89,79.18,73.51,85.88,104.82,125.01,128.34,134.19,147.21,
371.00,84.60,90.93,74.40,78.52,72.98,85.22,104.02,124.09,127.48,133.27,146.17,
371.43,83.94,90.24,73.83,77.93,72.42,84.56,103.31,123.21,126.60,132.26,145.20,
371.86,83.35,89.80,73.22,77.38,71.89,83.92,102.69,122.53,125.81,131.36,144.27,
372.29,83.02,89.56,72.89,77.15,71.59,83.50,102.42,122.29,125.44,130.85,143.81,
372.71,82.97,89.55,72.72,77.07,71.36,83.40,102.40,122.16,125.25,130.76,143.69,
373.14,82.78,89.39,72.43,76.81,71.19,83.28,102.09,121.78,124.93,130.44,143.23,
373.57,82.95,89.52,72.58,76.89,71.27,83.29,102.27,122.00,125.21,130.66,143.58,
374.00,83.30,89.93,72.74,77.04,71.45,83.61,102.52,122.40,125.60,131.00,143.97,
374.42,83.67,90.30,72.98,77.20,71.56,83.88,102.86,122.97,126.12,131.71,144.60,
374.85,84.02,90.82,73.48,77.66,72.00,84.37,103.64,123.86,126.92,132.48,145.56,
375.28,84.58,91.52,73.95,78.30,72.51,85.06,104.43,124.82,127.88,133.43,146.68,
375.70,85.26,92.35,74.39,78.96,72.89,85.74,105.26,125.74,128.92,134.52,147.85,
376.13,85.92,93.12,74.86,79.55,73.52,86.44,106.20,126.81,129.98,135.63,149.10,
376.56,86.57,93.83,75.45,80.14,74.10,87.03,106.98,127.75,131.00,136.59,150.29,
376.99,87.12,94.32,75.99,80.65,74.50,87.41,107.57,128.51,131.80,137.41,151.40,
377.41,87.37,94.55,76.12,80.79,74.62,87.54,107.90,128.94,132.16,137.73,151.80,
377.84,87.54,94.73,76.19,80.82,74.72,87.58,108.07,129.30,132.46,138.07,152.04,
378.27,87.33,94.67,76.09,80.84,74.53,87.56,107.97,129.23,132.29,137.92,151.95,
378.69,86.84,94.18,75.52,80.31,73.99,87.04,107.20,128.27,131.50,137.16,151.00,
379.12,86.06,93.31,74.81,79.49,73.33,86.20,106.05,127.05,130.29,135.81,149.64,
379.55,85.11,92.27,73.97,78.55,72.48,85.25,104.78,125.69,128.80,134.29,148.04,
379.97,83.87,90.88,72.84,77.18,71.20,83.85,103.01,123.69,126.82,132.18,145.75,
380.40,82.38,89.23,71.60,75.82,69.89,82.27,101.27,121.64,124.63,130.05,143.34,
380.83,80.91,87.66,70.32,74.49,68.75,80.76,99.50,119.44,122.43,127.66,140.78,
381.25,79.59,86.39,69.01,73.25,67.41,79.43,97.80,117.44,120.52,125.68,138.47,
381.68,78.49,85.24,67.90,72.15,66.37,78.24,96.42,115.70,118.83,123.90,136.53,
382.11,77.50,84.18,66.97,71.13,65.64,77.18,95.17,114.22,117.32,122.25,134.88,
382.53,76.82,83.43,66.42,70.55,65.00,76.41,94.31,113.23,116.28,121.16,133.72,
382.96,76.50,83.04,65.98,70.04,64.51,75.88,93.76,112.56,115.60,120.47,132.75,
383.39,76.19,82.83,65.67,69.55,64.17,75.51,93.45,112.26,115.18,120.02,132.22,
383.81,76.14,82.90,65.64,69.53,64.12,75.51,93.48,112.25,115.15,120.05,132.19,
384.24,76.25,83.12,65.66,69.59,64.11,75.60,93.51,112.24,115.14,120.20,132.22,
384.67,76.58,83.45,65.82,69.71,64.30,75.85,93.70,112.61,115.53,120.65,132.66,
385.09,77.16,84.14,66.38,70.22,64.86,76.48,94.43,113.61,116.51,121.55,133.70,
385.52,78.14,85.19,67.19,70.95,65.55,77.32,95.50,114.97,117.96,122.96,135.23,
385.95,79.15,86.33,68.07,71.90,66.41,78.29,96.79,116.53,119.54,124.57,137.17,
386.37,80.32,87.75,69.09,73.06,67.50,79.54,98.38,118.50,121.42,126.48,139.31,
386.80,81.74,89.37,70.21,74.36,68.59,80.93,100.19,120.62,123.63,128.70,141.78,
387.22,83.24,91.19,71.40,75.71,69.78,82.46,102.05,122.86,125.98,131.09,144.46,
387.65,84.60,92.70,72.48,76.91,70.98,83.76,103.65,124.87,127.95,133.22,146.88,
388.08,85.82,94.03,73.53,77.98,71.96,84.87,105.01,126.66,129.68,135.01,148.97,
388.50,86.92,95.30,74.42,78.80,72.69,85.86,106.20,128.17,131.23,136.57,150.63,
388.93,87.56,96.04,74.95,79.24,73.13,86.41,106.83,129.19,132.29,137.51,151.73,
389.36,87.81,96.35,75.25,79.55,73.44,86.74,107.32,129.86,132.91,138.15,152.51,
389.78,87.93,96.59,75.33,79.76,73.57,86.95,107.40,130.06,133.12,138.44,152.70,
390.21,87.80,96.48,75.13,79.57,73.36,86.81,107.09,129.82,132.88,138.24,152.45,
390.63,87.47,96.16,74.81,79.32,73.18,86.56,106.75,129.40,132.57,137.78,152.06,
391.06,87.30,95.89,74.65,79.02,73.00,86.20,106.48,128.99,132.30,137.39,151.68,
391.49,87.07,95.57,74.36,78.74,72.66,85.88,106.10,128.58,131.83,136.93,151.35,
391.91,86.68,95.27,73.97,78.47,72.41,85.52,105.84,128.21,131.37,136.44,150.94,
392.34,86.53,95.26,73.80,78.36,72.26,85.36,105.79,128.17,131.29,136.34,150.69,
392.76,86.39,95.22,73.67,78.33,72.11,85.30,105.77,128.04,131.17,136.30,150.54,
393.19,86.24,95.12,73.45,78.12,72.01,85.19,105.54,127.88,130.94,136.03,150.29,
393.61,86.05,94.90,73.28,77.90,71.80,84.83,105.24,127.49,130.51,135.64,149.86,
394.04,86.11,95.02,73.30,77.76,71.66,84.74,105.16,127.48,130.55,135.54,149.69,
394.47,86.31,95.27,73.43,77.74,71.65,84.84,105.34,127.79,130.90,135.89,149.92,
394.89,86.88,95.88,73.96,78.27,72.15,85.38,106.19,128.80,131.82,137.00,151.09,
395.32,88.21,97.39,75.00,79.41,73.24,86.71,107.93,130.73,133.72,139.15,153.40,
395.74,90.27,99.76,76.60,81.21,74.75,88.70,110.41,133.64,136.74,142.39,156.87,
396.17,92.94,102.77,78.70,83.56,76.91,91.29,113.81,137.53,140.78,146.48,161.46,
396.59,96.27,106.51,81.48,86.45,79.63,94.43,117.81,142.49,145.85,151.56,167.24,
397.02,100.00,110.59,84.74,89.86,82.52,97.92,122.34,148.01,151.46,157.26,173.69,
397.45,103.74,114.82,87.85,93.16,85.52,101.51,126.98,153.65,157.07,163.19,180.22,
397.87,107.58,119.13,91.02,96.58,88.56,105.11,131.68,159.45,162.93,169.19,186.71,
398.30,111.30,123.34,94.14,99.89,91.52,108.76,136.18,164.88,168.63,175.06,193.00,
398.72,114.88,127.40,97.03,103.01,94.33,112.16,140.28,170.01,173.94,180.58,199.07,
399.15,118.38,131.26,99.89,105.90,97.07,115.44,144.29,175.08,179.19,185.83,205.01,
399.57,121.94,135.24,102.78,108.92,99.86,118.83,148.34,180.16,184.42,191.21,210.99,
400.00,125.45,139.14,105.74,111.82,102.64,122.20,152.41,185.35,189.76,196.74,217.02,
400.42,128.59,142.59,108.37,114.65,105.29,125.23,156.26,190.12,194.67,201.79,222.72,
400.85,131.42,145.89,110.79,117.26,107.81,128.00,159.80,194.45,199.06,206.30,227.93,
401.27,134.10,148.97,112.86,119.64,109.88,130.60,162.91,198.47,203.16,210.56,232.51,
401.70,136.05,151.45,114.49,121.44,111.49,132.54,165.36,201.45,206.35,213.78,236.05,
402.12,137.43,153.07,115.61,122.62,112.63,133.82,166.92,203.47,208.57,215.83,238.49,
402.55,138.48,154.29,116.59,123.59,113.40,134.73,168.00,205.07,210.20,217.47,240.34,
402.97,139.11,154.95,116.93,124.04,113.72,135.17,168.54,205.86,211.03,218.34,241.26,
403.40,139.29,155.30,117.08,123.91,113.89,135.19,168.74,206.26,211.43,218.75,241.74,
