
14.12.2015	12:28:03
V	I	G
[V]	[A]	[W/m²]
32,5417	0,1065	66,7263
32,5578	0,1060	66,7263
32,6284	0,1061	66,7617
32,6477	0,1062	66,7972
32,7408	0,1056	66,8326
32,7986	0,1060	66,8681
32,8917	0,1052	66,9744
32,9656	0,1055	66,9035
33,0362	0,1055	66,8326
33,0651	0,1056	66,7972
33,1390	0,1054	66,7617
33,1551	0,1052	66,6554
33,2321	0,1054	66,6554
33,2739	0,1045	66,7263
33,3092	0,1043	66,6554
33,3702	0,1035	66,7617
33,4184	0,1034	66,7972
33,4762	0,1038	66,8326
33,5404	0,1034	66,9035
33,6078	0,1034	66,8681
33,4922	0,1037	66,9035
33,7555	0,1037	66,9035
33,7780	0,1037	66,7972

14.12.2015	12:29:03
V	I	G
[V]	[A]	[W/m²]
0,0000	0,1160	57,1180
0,0995	0,1155	57,2952
0,1991	0,1162	57,3661
0,1702	0,1168	57,4725
0,3725	0,1163	57,4725
0,3789	0,1165	57,5080
0,5491	0,1173	57,4725
0,5427	0,1173	57,3661
0,6390	0,1171	57,3307
0,4528	0,1171	57,2243
0,6968	0,1170	57,2243
0,6487	0,1163	57,2952
0,8413	0,1154	57,3307
0,9120	0,1157	57,4371
1,0019	0,1158	57,4725
1,0918	0,1164	57,4371
1,1881	0,1165	57,4016
1,2523	0,1167	57,3307
0,2569	0,1170	57,1889
1,3647	0,1167	57,1534
0,7289	0,1167	56,9761
1,4257	0,1162	57,0471
1,4322	0,1157	57,1534
1,5446	0,1154	57,2952
1,5767	0,1154	57,3661
1,7083	0,1155	57,5080
1,7854	0,1164	57,5789
1,9074	0,1167	57,5789
1,9749	0,1167	57,4725
2,0455	0,1167	57,4016
2,0487	0,1165	57,2952
2,0872	0,1165	57,1889
2,1515	0,1162	57,1534
2,0070	0,1162	57,1889
2,2574	0,1155	57,2243
2,2157	0,1154	57,2243
2,4051	0,1158	57,3307
2,5240	0,1154	57,4371
2,6107	0,1160	57,4371
2,5368	0,1158	57,4016
2,7487	0,1168	57,2243
2,7487	0,1160	57,1534
2,8162	0,1153	57,1534
2,8579	0,1152	57,1534
2,9093	0,1155	57,2243
3,0153	0,1148	57,2952
