
03.10.2016	14:10:00
V	I	G
[V]	[A]	[W/m²]
20,5481	0,0252	833,9719
20,5995	0,0252	833,9719
20,5770	0,0259	834,0428
20,5577	0,0242	834,0074
20,5706	0,0235	834,0074
20,5899	0,0220	833,9719
20,5610	0,0230	834,0074
20,5481	0,0213	833,8301
20,5834	0,0227	833,8655
20,5899	0,0215	833,8655
20,5931	0,0232	834,0428
20,5963	0,0215	834,0074
20,6123	0,0205	834,0783
20,5642	0,0210	834,0783
20,5385	0,0198	834,0428
20,5706	0,0196	833,9719
20,5963	0,0198	834,0428
20,5866	0,0200	834,0428
20,5931	0,0196	834,0783
20,6252	0,0196	834,2201
20,6188	0,0186	834,2555
20,5899	0,0186	834,1492
20,5706	0,0174	834,0074
20,5899	0,0178	834,0783
20,5642	0,0186	834,0428
20,5449	0,0181	834,0074
20,6091	0,0183	834,1137
20,6380	0,0178	834,2555
20,5931	0,0176	834,2555
20,5963	0,0154	834,2555
20,5931	0,0159	834,3265
20,5931	0,0161	834,3265
20,5770	0,0174	834,3265
20,5995	0,0159	834,3265
20,6316	0,0174	834,3974
20,5834	0,0169	834,5037
20,5770	0,0159	834,3974
20,5931	0,0147	834,4683
20,6059	0,0142	834,4683
20,5642	0,0147	834,3619
20,5899	0,0139	834,2910
20,5834	0,0149	834,2910
20,6316	0,0156	834,3619
20,5963	0,0159	834,3619
20,6155	0,0139	834,3619
20,6155	0,0144	834,5037
20,5866	0,0139	834,3619
20,5674	0,0137	834,3619
20,5770	0,0130	834,3619
20,6059	0,0137	834,3974
20,5963	0,0144	834,4683
20,6252	0,0142	834,5392
20,6188	0,0142	834,6455
20,6155	0,0139	834,6810
20,6091	0,0130	834,6810
20,6123	0,0120	834,6455
20,6188	0,0130	834,7519
20,5834	0,0125	834,6101
20,6155	0,0125	834,6810
20,6348	0,0130	834,7519
20,6380	0,0125	834,8583
20,6091	0,0125	834,7519
20,6155	0,0110	834,7519
20,5963	0,0125	834,7519
20,5995	0,0125	834,6810
20,5931	0,0127	834,6810
20,6348	0,0120	834,7519
20,6316	0,0130	834,8583
20,6155	0,0127	834,8228
20,6188	0,0105	834,8583
20,6123	0,0093	834,8583
20,5963	0,0108	834,8583
20,5866	0,0108	834,8228
20,6316	0,0112	834,8228
20,6188	0,0125	834,9646
20,5995	0,0120	835,0356
20,6316	0,0117	835,0356
20,6348	0,0110	835,0710
20,6220	0,0108	835,0710
20,5866	0,0093	834,9646
20,5963	0,0100	834,9292
20,6123	0,0105	834,8937
20,6316	0,0108	834,9646
20,6220	0,0108	834,9646
20,6669	0,0103	835,0356
20,6123	0,0110	835,0710
20,5963	0,0110	835,0710
20,5995	0,0100	834,9646
20,6252	0,0090	834,8937
20,6123	0,0108	835,0356
20,6155	0,0100	834,9646
20,6380	0,0100	835,0710
20,6573	0,0100	835,1065
20,6380	0,0110	835,1774
20,6188	0,0090	835,0356
20,6444	0,0086	835,0710

03.10.2016	14:30:00
V	I	G
[V]	[A]	[W/m²]
1,7340	4,6818	818,5135
2,3634	4,6760	818,4781
2,9189	4,6703	818,4426
3,4841	4,6618	818,3363
4,1103	4,6537	818,3363
4,7300	4,6442	818,4072
5,2888	4,6351	818,3717
5,9085	4,6234	818,4072
6,4640	4,6117	818,4426
7,0613	4,6000	818,4426
7,6040	4,5855	818,3717
8,1531	4,5689	818,2653
8,7407	4,5525	818,3717
9,2481	4,5327	818,3363
9,8068	4,5081	818,3363
10,4426	4,4802	818,4072
10,9661	4,4460	818,4781
11,4734	4,4054	818,5135
12,0322	4,3543	818,4781
12,5235	4,2940	818,5135
13,0276	4,2199	818,4781
13,5478	4,1302	818,3717
14,0520	4,0251	818,4426
14,4855	3,9069	818,4781
14,9286	3,7705	818,4781
15,3685	3,6280	818,5490
15,7699	3,4650	818,5490
16,1232	3,2932	818,5135
16,4378	3,1070	818,4426
16,8007	2,9224	818,4781
17,0833	2,7343	818,4072
17,3402	2,5493	818,3717
17,6613	2,3696	818,4426
17,9118	2,1949	818,5135
18,0852	2,0280	818,5135
18,2875	1,8684	818,4072
18,4480	1,7208	818,5135
18,6407	1,5812	818,4781
18,7595	1,4495	818,4426
18,9457	1,3285	818,4781
19,0549	1,2176	818,6554
19,1545	1,1130	818,6199
19,2637	1,0159	818,6554
19,3664	0,9284	818,6199
19,4210	0,8485	818,6199
19,4595	0,7755	818,4781
19,5912	0,7097	818,4426
19,6361	0,6491	818,4781
19,6618	0,5934	818,4426
19,7646	0,5421	818,4426
19,8352	0,4954	818,4781
19,8352	0,4538	818,4781
19,8641	0,4150	818,4072
19,8770	0,3805	818,3717
19,9316	0,3495	818,4072
19,9573	0,3228	818,3717
19,9701	0,2964	818,3717
20,0568	0,2742	818,4781
20,0279	0,2532	818,5135
20,0086	0,2322	818,4781
20,0568	0,2136	818,4781
20,1018	0,1992	818,4781
20,0729	0,1840	818,4072
20,1146	0,1711	818,4426
20,1146	0,1606	818,5490
20,1403	0,1503	818,5490
20,1403	0,1405	818,6199
20,1692	0,1307	818,5490
20,1853	0,1237	818,6554
